alpha,p,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
1.2,2.0,0.05,1.0,1.2,0.18295649414234727,1.0,15.830000000000002,0.00030818425122535804,1977.8687382926769,0.2099537037037037
1.2,2.0,0.05,1.4,1.2,0.18295649414234727,1.0,15.830000000000002,0.0003081683426192121,1983.4569382382901,0.20972222222222223
1.2,2.0,0.08,0.6,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030763487983016536,1977.8187469916672,0.21134259259259258
1.2,2.0,0.08,1.0,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030761891299138373,1984.7970693862785,0.2101851851851852
1.2,2.0,0.08,1.4,1.2,0.17872692127503453,1.0,15.820000000000002,0.0003076029460688756,1992.1034777941172,0.21006944444444448
1.2,2.5,0.03,0.6,1.2,0.18469430031119893,1.0,15.84,0.00030843488322590166,1985.110476949251,0.21157407407407408
1.2,2.5,0.03,1.0,1.2,0.18469430031119893,1.0,15.84,0.00030842043148477576,1982.2262792219512,0.21064814814814817
1.2,2.5,0.03,1.4,1.2,0.18469430031119893,1.0,15.84,0.0003084059796765078,1978.5033916170846,0.2099537037037037
1.2,2.5,0.05,0.6,1.2,0.18295649414234727,1.0,15.830000000000002,0.0003082023123062822,1977.1027546089329,0.2119212962962963
1.2,2.5,0.05,1.0,1.2,0.18295649414234727,1.0,15.820000000000002,0.00030818783884208956,1978.2574280961617,0.21099537037037036
1.2,2.5,0.05,1.4,1.2,0.18295649414234727,1.0,15.830000000000002,0.0003081733653107236,1979.1780244760782,0.2104166666666667
1.2,2.5,0.08,0.6,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030763704066824637,1974.3565972242036,0.21238425925925927
1.2,2.5,0.08,1.0,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030762251440816615,1980.7820113275363,0.21145833333333336
1.2,2.5,0.08,1.4,1.2,0.17872692127503453,1.0,15.820000000000002,0.00030760798808069343,1986.244932345701,0.21087962962962964
1.6,1.5,0.03,0.6,1.2,0.24645242475293128,1.0,14.13,0.00035240709539123246,49.03476307026062,0.20925925925925926
1.6,1.5,0.03,1.0,1.2,0.24645242475293128,1.0,14.13,0.00035238661490055885,49.02311689973438,0.2082175925925926
1.6,1.5,0.03,1.4,1.2,0.24645242475293128,1.0,14.13,0.00035236613429925987,48.99811245111552,0.20752314814814815
1.6,1.5,0.05,0.6,1.2,0.2449724781786191,1.0,14.12,0.00035192389410252544,48.99200240899762,0.20949074074074076
1.6,1.5,0.05,1.0,1.2,0.2449724781786191,1.0,14.12,0.00035190338274652044,48.984343301569126,0.20833333333333334
1.6,1.5,0.05,1.4,1.2,0.2449724781786191,1.0,14.12,0.0003518828712799197,48.970881325613874,0.20763888888888887
1.6,1.5,0.08,0.6,1.2,0.24136976593152992,1.0,14.080000000000002,0.0003507487764876258,48.935902504934674,0.20972222222222223
1.6,1.5,0.08,1.0,1.2,0.24136976593152992,1.0,14.080000000000002,0.0003507281900733802,48.91626842575899,0.20879629629629629
1.6,1.5,0.08,1.4,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035070760354804283,48.892883385832214,0.2079861111111111
1.6,2.0,0.03,0.6,1.2,0.24645242475293128,1.0,14.13,0.00035240925782430166,49.027221292055295,0.20983796296296298
1.6,2.0,0.03,1.0,1.2,0.24645242475293128,1.0,14.13,0.00035239021897823356,49.02208856460643,0.20949074074074076
1.6,2.0,0.03,1.4,1.2,0.24645242475293128,1.0,14.13,0.0003523711800395392,49.008499280101454,0.209375
1.6,2.0,0.05,0.6,1.2,0.2449724781786191,1.0,14.12,0.0003519260601822933,48.993624364775904,0.21006944444444445
1.6,2.0,0.05,1.0,1.2,0.2449724781786191,1.0,14.12,0.00035190699290206854,48.97957225832803,0.20983796296296298
1.6,2.0,0.05,1.4,1.2,0.2449724781786191,1.0,14.12,0.0003518879255290923,48.96927543950392,0.20960648148148148
1.6,2.0,0.08,0.6,1.2,0.24136976593152992,1.0,14.080000000000002,0.0003507509514349067,48.93805865700729,0.21030092592592592
1.6,2.0,0.08,1.0,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035073181500811933,48.92235159977139,0.21006944444444448
1.6,2.0,0.08,1.4,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035071267848829955,48.904873840446236,0.2099537037037037
1.6,2.5,0.03,0.6,1.2,0.24645242475293128,1.0,14.13,0.00035241121954911187,49.02297066652004,0.2101851851851852
1.6,2.5,0.03,1.0,1.2,0.24645242475293128,1.0,14.13,0.00035239348853774503,49.01644239750225,0.2099537037037037
1.6,2.5,0.03,1.4,1.2,0.24645242475293128,1.0,14.13,0.0003523757574484006,49.009026472300896,0.20983796296296298
1.6,2.5,0.05,0.6,1.2,0.2449724781786191,1.0,14.12,0.00035192802520314794,48.99472572772337,0.21053240740740742
1.6,2.5,0.05,1.0,1.2,0.2449724781786191,1.0,14.12,0.00035191026795504843,48.98364596704958,0.2101851851851852
1.6,2.5,0.05,1.4,1.2,0.2449724781786191,1.0,14.12,0.0003518925106288781,48.971548982246205,0.2101851851851852
1.6,2.5,0.08,0.6,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035075292447076255,48.93534290902103,0.21099537037037036
1.6,2.5,0.08,1.0,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035073510341957967,48.926811701172376,0.21053240740740742
1.6,2.5,0.08,1.4,1.2,0.24136976593152992,1.0,14.080000000000002,0.00035071728229007555,48.912718740400514,0.2104166666666667
