alpha,p,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
0.8,1.5,0.03,0.6,1.2,0.10404051791304214,1.0,15.1,0.0002622763521823352,602.1976671523937,0.21064814814814814
0.8,1.5,0.03,1.0,1.2,0.10404051791304214,1.0,15.1,0.0002622541403468597,602.9238978188803,0.20902777777777778
0.8,1.5,0.03,1.4,1.2,0.10404051791304214,1.0,15.1,0.00026223192838507664,602.7935938820314,0.20798611111111112
0.8,1.5,0.05,0.6,1.2,0.10179279475998715,1.0,15.1,0.000262032306068549,601.828763047081,0.21111111111111114
0.8,1.5,0.05,1.0,1.2,0.10179279475998715,1.0,15.1,0.00026201006558099405,602.1203799641145,0.20949074074074076
0.8,1.5,0.05,1.4,1.2,0.10179279475998715,1.0,15.09,0.0002619878249670985,599.8792233789252,0.20833333333333334
0.8,1.5,0.08,0.6,1.2,0.09632579905933691,1.0,15.069999999999999,0.00026143958312063834,597.3272555075313,0.21203703703703705
0.8,1.5,0.08,1.0,1.2,0.09632579905933691,1.0,15.069999999999999,0.0002614172730529988,596.8015902333634,0.21006944444444445
0.8,1.5,0.08,1.4,1.2,0.09632579905933691,1.0,15.069999999999999,0.0002613949628586125,597.8502581285694,0.20891203703703703
0.8,2.0,0.03,0.6,1.2,0.10404051791304214,1.0,15.1,0.0002622793998472082,601.6486126506192,0.21284722222222224
0.8,2.0,0.03,1.0,1.2,0.10404051791304214,1.0,15.1,0.00026225921981917554,602.1364217752789,0.21134259259259258
0.8,2.0,0.03,1.4,1.2,0.10404051791304214,1.0,15.1,0.00026223903968962387,602.4192232507854,0.21064814814814814
0.8,2.0,0.05,0.6,1.2,0.10179279475998715,1.0,15.1,0.0002620353578513243,601.4536727148969,0.21319444444444446
0.8,2.0,0.05,1.0,1.2,0.10179279475998715,1.0,15.1,0.0002620151519165839,601.3816420120681,0.21203703703703705
0.8,2.0,0.05,1.4,1.2,0.10179279475998715,1.0,15.1,0.0002619949458802305,601.6141797503554,0.21087962962962964
0.8,2.0,0.08,0.6,1.2,0.09632579905933691,1.0,15.069999999999999,0.0002614426449032005,597.0557463420511,0.21377314814814816
0.8,2.0,0.08,1.0,1.2,0.09632579905933691,1.0,15.069999999999999,0.00026142237605498336,596.9009135525566,0.21261574074074074
0.8,2.0,0.08,1.4,1.2,0.09632579905933691,1.0,15.069999999999999,0.0002614021071049019,596.5285341513586,0.21111111111111114
0.8,2.5,0.03,0.6,1.2,0.10404051791304214,1.0,15.1,0.0002622821420913069,601.6331719730235,0.2134259259259259
0.8,2.5,0.03,1.0,1.2,0.10404051791304214,1.0,15.1,0.0002622637902507102,601.5061408917236,0.21319444444444446
