Lambda,p,eta,alpha,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
6,2.0,0.1,0.082,0.1,526.1799116455672,0.8,-0.03325884762660514,0.25,19.55,0.001892691156169293,495.67720251599076,0.1037037037037037
6,2.5,0.02,0.082,0.1,372.0653836487191,0.8,-0.03325884762660514,0.25,19.25,0.001893671644304744,499.53860017240595,0.14664351851851853
6,2.5,0.05,0.082,0.1,930.1634591217977,0.8,-0.03325884762660514,0.0,inf,0.0018899648437325934,405.66294469702206,0.1255787037037037
6,2.5,0.1,0.082,0.1,1860.3269182435954,0.8,-0.03325884762660514,0.0,inf,0.001883769037581683,167.61109908538543,0.10937500000000001
8,1.5,0.02,0.11480000000000001,0.1,22.323923018924198,0.8,-0.044225487136456076,0.75,19.05,0.0019114877752213137,739.3915493070804,0.17175925925925925
8,1.5,0.05,0.11480000000000001,0.1,55.8098075473105,0.8,-0.03798595357592244,0.75,17.150000000000002,0.0019112773208766654,467.6831879225475,0.13425925925925927
8,1.5,0.1,0.11480000000000001,0.1,111.619615094621,0.8,-0.03798595357592244,0.5,16.45,0.0019109265029675236,384.08822264299374,0.10601851851851851
8,2.0,0.02,0.11480000000000001,0.1,78.92698674683881,0.8,-0.03798595357592244,0.75,18.416666666666668,0.0019111259903297371,528.2118582458165,0.16041666666666665
8,2.0,0.05,0.11480000000000001,0.1,197.31746686709704,0.8,-0.03798595357592244,0.25,16.3,0.001910372591603703,463.96062386349934,0.13101851851851853
8,2.0,0.1,0.11480000000000001,0.1,394.6349337341941,0.8,-0.03798595357592244,0.5,18.475,0.0019091161554271403,416.5541327537683,0.11145833333333334
8,2.5,0.02,0.11480000000000001,0.1,279.04903773655246,0.8,-0.03798595357592244,0.25,16.400000000000002,0.001909830454037738,436.8431306663814,0.1523148148148148
8,2.5,0.05,0.11480000000000001,0.1,697.6225943413812,0.8,-0.03798595357592244,0.25,19.900000000000002,0.001907130358025443,509.04089497937093,0.13078703703703703
8,2.5,0.1,0.11480000000000001,0.1,1395.2451886827623,0.8,-0.03798595357592244,0.0,inf,0.001902620431640353,245.98317728387252,0.11354166666666667
